lname,n
CROMEANS,4
CROMPTON,1
CRONEN,3
CRONIN,1
CROOK,6
CROOKS,6
CROSBY,8
CROSS,3
CROUT,8
CROW,4
CROWDER,58
CROWLEY,2
CROWTHER,4
CROY,3
CRUMPLER,7
CRUTCHER,1
CRUTCHFIELD,6
CRUZ,14
CRUZAN,1
CRYDERMAN,1
CUDDY,2
CULBERSON,1
CULBREATH,1
CULLOM,4
CULVER,2
CUMBIE,2
CUMMINGS,5
CUMMINS,2
CUNDIFF,2
CUNNINGHAM,7
CURRIE,2
CURRY,3
CURTIS,16
CUSHMAN,1
CUSTODE,2
CUTSHALL,4
DAHL,1
DAHLBERG,19
DAHLBURG,1
DAHLIN,5
DAILEY,4
DAINE,2
DAIZ,1
DAKOSKI,1
DALE,39
DALTON,4
DANA,1
DANAHER,1
DANE,1
DANFORD,6
DANIEL,7
DANIELLO,2
DANIELS,8
DANNER,5
DANNHEIM,1
DANTUONO,1
DAQUIN,2
DARBY,1
DARDEN,2
DARDER,1
DARDER BONILLA,2
DARK,2
DARNALL,2
DART,1
DAST,2
DAUGHERTY,1
DAVENPORT,13
DAVID,5
DAVIDSON,4
DAVIS,112
DAVISON,2
DAWES,2
DAWKINS,4
DAWLEY,2
DAY,4
DAYTON,4
DE ANGELIS,2
DE GROAT,2
DE JESUS,6
DE LAUGHTER,1
DE SUMMA,1
DEAL,4
DEAN,4
DEARING,2
DEASE,2
DEATON,10
DEBUSMAN,1
DECKER,4
DECKERT,4
DECOLA,4
DEES,7
DEESE,1
DEFELICI,2
DEFOREST,2
DEFRANCO,2
DEGRANDE,2
DEGROOT,1
DEHART,2
DEITZ,8
DELANEY,2
DELANY,1
DELCOGLIANO,2
DELCOURT,7
DELF,2
DELLINGER,39
DELOATCH,1
DELVECCHIO,1
DEMARCE,3
DEMERS,1
DEMERTZIS,1
DEMMERT,3
DEMORSKY,2
DENKER,2
DENLEY,2
DENNING,4
DENNIS,6
DENNY,11
DENT,2
DENTON,3
DERBY,1
DEVA,1
DEVEE,1
DEVERE,6
DEVOE,2
DEWITT,2
DEWITT-FELDMAN,2
DEYO,2
DEYTON,208
DI PASQUALE,2
DIAL,3
DICKERSON,3
DICKSON,2
DICRISTINO,4
DIDIER,4
DIDONATO,2
DIENSTBERGER,4
DIETERICH,2
DIETRICH,4
DIETRICH-DAVIS,3
DIETZ,3
DIGH,1
DIGIOVANNA,2
DILL,1
DILLARD,2
DILLINGER,2
DILS,2
DINGES,1
DINGMAN,1
DIPIETRO,1
DIPPER,3
DISNEY,2
DIXON,4
DOAN,5
DOANE,4
DOBROGOSZ,2
DOBROW,4
DOBSON,4
DOCKERY,2
DODD,10
DODSON,4
DOLL,3
DONAGHY,2
DONALD,1
DONEY,4
DONNAHOO,6
DONNELLY,1
DONOVAN,2
DOOLEY,2
DOOLIN,2
DORAZIO,2
DOSWELL,2
DOTTS,4
DOUGHERTY,2
DOUGHTY,1
DOUGLAS,7
DOUGLASS,3
DOVER,15
DOWDLE,2
DOWELL,2
DOWIS,5
DOWLING,4
DOWNER,2
DOWNES,1
DOWNEY,7
DOWNING,4
DOWNING-NYEGARD,1
DOX,3
DOYLE,7
DRACUP,5
DRAYTON,2
DREGER,4
DREWRY,2
DREYER,7
DRIGGERS,4
DRUMMOND,3
DRUMMONDS,2
DRURY,1
DRUSKINS-DEVEE,1
DUBOIS,2
DUCHAN,2
DUCHARME,2
DUCHENEAU,1
DUCKETT,13
DUCKWALL,1
DUENAS,2
DUERKES,1
DUGGER,3
DUGUID,2
DUKE,1
DULA,4
DULANEY,17
DUNCAN,62
DUNHAM,2
DUNN,11
DUPREE,2
DURHAM,2
DURIE,2
DURKIN,1
DUST,1
DUVALL,5
DWYER,2
DYER,4
DZUIBLINSKI,1
EALA,1
EARLEY,1
EARLY,3
EARNHART,2
EARP,4
EASLER,1
EASTHAM,4
EATON,4
EBERWEIN,4
ECKARD,4
ECKENRODE,2
ECKHARDT,1
EDBORG,2
EDDINGS,1
EDDS,2
EDGE,12
EDMONDS,5
EDMUNDSON,2
EDSON,4
EDWARDS,398
EFFLER,12
EFSTATION,1
EGAN,2
EGGLETON,4
EGLINGTON,1
EICHOLTZ,1
EICHORN,1
EISENHAUER,2
ELAM,3
ELBEL,1
ELDER,4
ELDERBROCK,1
ELDRIDGE,2
ELKINS,98
ELLER,2
ELLIOTT,42
ELLIS,15
ELLISON,1
ELSEGOOD,2
ELWOOD,4
ELWORTH,2
EMERSON,4
EMILY,1
EMORY,2
ENGEL,2
ENGEL-BAKER,2
ENGELHARDT,4
ENGELMAN,1
ENGLAND,55
ENGLE,3
ENGLISH,21
ENLOE,4
ENNIS,1
ENSLEY,2
EPPLER,2
ERICKSON,6
ERLANDSON,3
ERSKINE,2
ESCRUCERIA,1
ESPOSITO,2
ESTEP,4
ESTES,18
ETEN,4
ETHERIDGE,8
ETZOLD,2
EVANS,56
EVERETT,4
EVOY,2
EWING,4
EXUM,3
EZELL,1
EZZELLE,4
FABER,2
FABRIKANT,1
FADDEN,2
FAIRCHILD,8
FALES,1
FALLER,4
FALLON,2
FAMULARO,4
FARBER,1
FARESE,1
FARLEY,2
FARMER,12
FARRELL,6
FAUCETTE,3
FAULKER,1
FAULKNER,5
FAVOR,2
FAW,4
FAWCETT,1
FEASEL,2
FEASTER,4
FEATHER,2
FEDERMAN,1
FELDMAN,2
FELTS,5
FEMIANO,2
FEMINELLA,2
FENDER,133
FENSTAD,2
FEREBEE,2
FERENCE,4
FERGUSON,22
FERNANDES-HALL,4
FERNANDEZ,2
FERRARO,6
FERREIRA,3
FERRELL,3
FESTICH,3
FIELD,1
FIELDER,1
FIELDS,4
FIGUEREDO,2
FILBAN,6
FINCH,3
FINK,2
FINKE,1
FINKELS,1
FINKELSTEIN,1
FINKLEA,1
FINLEY,1
FISCHER,1
FISHBACH,2
FISHER,7
FITZGERALD,6
FITZGIBBON,6
FLAKE,1
FLANAGAN,2
FLANIGAN,2
FLECKENSTEIN,11
FLEENER,2
FLEISCHMAN,2
FLETCHER,3
FLINT,1
FLOAN,2
FLORENCE,1
FLOWERS,4
FLOYD,9
FLYNN,11
FOCH,2
FOLCK,2
FOLEY,1
FOLLIN,2
FONDAW,2
FORBES,35
FORD,8
FORDE,2
FORDHAM,1
FORE,4
FOREMAN,2
FORKNER,1
FORSYTHE-NEWELL,4
FORTNER,42
FORTUNE,2
FOSTER,4
FOUST,2
FOUTS,3
FOWLER,9
FOX,413
FOX-HORTON,1
FOXX,33
FOY,3
FRABONI,4
FRANCIS,4
FRANK,9
FRANKLIN,54
FRANKS,4
FRANLKIN,1
FRAZER,2
FRAZIER,2
FREDERICK,8
FREDRICKSON,4
FREEBORN,2
FREEDLE,1
FREEMAN,31
FRENNA,2
FRIEDMAN,1
FRIEND,8
FRISBEE,2
FRISCH,2
FRITZ,4
FROEMMING,3
FROILAND,4
FRYE,24
FULLER,7
FUNK,2
FUQUA,5
FURBAY,1
FURLONG,1
FURMAN,3
FUTRELL,2
FYLER,2
GABRIEL,3
GADDIS,1
GAINES,6
GALE,2
GALGANO,2
GALL,2
GALLANT,1
GALLIGAN,1
GALLOWAY,1
GALTON,3
GALVIN,2
GANGE,2
GARASHI,1
GARBER,2
GARCIA,7
GARDNER,44
GARLAND,109
GARLAND-PETERSON,1
GARMON,5
GARNEAU,2
GARNER,3
GARRELL,2
GARREN,4
GARRETSON,5
GARRETT,4
GARRIQUES,6
GARRIS,2
GARY,1
GASKINS,2
GATCHELL,1
GATES,8
GATTS,3
GAVENUS,7
GAYLE,2
GAZZINGAN,2
GEARY,1
GEBBY,1
GEDEON,2
GEISER,6
GEISSLER-CRAIN,2
GEIST,2
GEORGE,13
GEOUGE,70
GERACI,4
GERAGHTY,1
GERAUGHTY,2
GERMAINE,7
GETIRAY,1
GETZ,4
GEYER,1
GIARDINA,12
GIBBONS,1
GIBBS,61
GIBSON,6
GILBERT,11
GILES,4
GILL,4
GILLESPIE,34
GILLEY,30
GILLIAM,5
GILLIS,5
GILMOUR,6
GILSON,1
GIMBEL,1
GINN,2
GIRARD,1
GIRAUD,1
GITT,2
GITTINGS,1
GIUSTINIANO,4
GLANCY,4
GLASS,1
GLATFELTER,2
GLENN,6
GLICK,2
GLOVER,9
GODFREY,11
GODSHALL,2
GOEBEL,3
GOETZ,1
GOFORTH,8
GOHEEN,1
