fname,n
KIERSTEN,1
KIERSTYN,1
KILEY,2
KILIAN,1
KIM,17
KIMBALL,2
KIMBERLEY,1
KIMBERLY,145
KIMBERLYN,1
KIMBERY,2
KIMERAN,1
KIMESA,2
KING,1
KIRA,3
KIRBY,4
KIRK,2
KIRKLAN,2
KIRKLAND,1
KIRSTEN,4
KIRSTIN,3
KISHA,2
KITTIE,4
KITTY,9
KNARLD,2
KODI,2
KORE,4
KORY,1
KOURTNI,1
KRISHA,2
KRISTA,10
KRISTABELL,3
KRISTAL,1
KRISTAN,2
KRISTEN,15
KRISTI,7
KRISTIAN,4
KRISTIE,5
KRISTIN,19
KRISTINA,6
KRISTLE,2
KRISTOPHER,5
KRISTY,12
KRYSTAL,2
KRYSTEN,2
KUDOS,1
KURL,2
KURT,7
KURTIS,4
KWICHA,2
KYE,2
KYLE,32
KYRAN,1
KYRSTEN,2
KYSAUNDRA,1
L,4
LA,1
LA SHASTA,1
LACEY,11
LACIE,2
LACOSTA,2
LACY,4
LADDIE,1
LADEA,2
LAKEN,2
LAKIN,1
LALA,1
LAMER,2
LANA,9
LANAE,2
LANCE,9
LANDON,6
LANDRIE,2
LANDRY,1
LANE,1
LANNY,4
LARA,2
LARISSA,2
LARRY,141
LASHASTA,4
LASKIE,2
LASKY,1
LASZLO,2
LATASHA,2
LATISHA,2
LATORIA,1
LATTIE,4
LATTY,1
LAURA,94
LAURE,2
LAUREL,8
LAUREN,25
LAURENCIA,1
LAURIE,9
LAURIN,1
LAVENIA,2
LAVERN,1
LAVONDA,1
LAVONIA,4
LAVONNE,4
LAWRENCE,37
LEA,2
LEACIL,2
LEAH,11
LEAHN,2
LEALON,1
LEANN,2
LEANNE,4
LEASHELL,2
LEATHA,3
LEE,29
LEE-ANN,2
LEEANN,1
LEIA,3
LEIDY,2
LEIGH,5
LEIGH ANN,2
LEILA,2
LEISA,3
LEISHA,2
LELAND,6
LELIA,3
LENA,20
LENDAL,2
LENNIE,2
LENNIS,1
LENNY,2
LENON,2
LENORA,2
LEO,2
LEON,5
LEONA,7
LEONARD,31
LEONEL,1
LEONORA,2
LEORICA,1
LEROY,10
LESA,8
LESIA,5
LESLEY,4
LESLIE,37
LESLYANN,2
LESLYE,2
LESSIE,2
LESTER,17
LETA,2
LETHA,2
LETISHA,2
LETITIA,2
LEVI,6
LEW,2
LEWIS,17
LI MING,1
LIANA,1
LIBBY,1
LIDA,2
LIGE,2
LILA,9
LILLIAN,24
LILLIE,16
LILLY,4
LILY,4
LIMING,1
LINCOLN,2
LINDA,296
LINDSAY,13
LINDSEY,16
LINN,1
LINNEA,2
LINNIE,3
LINSAY,2
LINZEY,4
LIONEL,3
LISA,126
LISSA,1
LITASHA,1
LITTLE,2
LIZA,1
LIZABETH,2
LIZZIE,1
LLOYD,31
LOCHLIN,1
LOCKIE,2
LODELLA,2
LOEITA,2
LOGAN,11
LOIS,46
LOIS ANN,2
LOLA,14
