fname,src,n
BRODY,B,1
BROMA,A,1
BROMA,B,1
BRONAS,A,1
BRONAS,B,1
BRONIS,A,1
BRONIS,B,1
BROOK,A,1
BROOKE,A,4
BROOKE,B,3
BROOKELYN,B,1
BROOKLYN,B,2
BROOKS,A,1
BROWN,A,3
BROWN,B,3
BRUCE,A,27
BRUCE,B,25
BRYAN,A,13
BRYAN,B,13
BRYANT,A,1
BRYANT,B,1
BRYCE,B,1
BRYONY,A,1
BRYONY,B,1
BRYSON,A,1
BRYSON,B,2
BRYWN,A,1
BRYWN,B,1
BUCK,A,1
BUCK,B,1
BUCKNER,A,1
BUDDY,A,2
BUDDY,B,3
BULA,A,1
BULA,B,1
BUNA,A,1
BURDETTE,A,1
BUREN,A,1
BUREN,B,1
BURGIN,A,1
BURKE,A,1
BURKE,B,1
BURL,A,3
BURL,B,3
BURNICE,A,1
BURNICE,B,1
BURRIS,A,1
BURRIS,B,1
BURTON,A,1
BURTON,B,1
BUSTER,A,3
BUSTER,B,1
BYRD,A,1
BYRL,A,1
BYRL,B,1
BYRON,A,4
BYRON,B,4
C,A,4
C,B,4
CAARA,B,1
CACCIAGUIDA,A,1
CACCIAGUIDA,B,1
CAILIE,B,1
CAINAR,A,1
CAIRN,A,1
CAITLIN,A,2
CAITLIN,B,4
CAITLYN,A,1
CAITLYN,B,1
CALAN,B,1
CALEB,A,6
CALEB,B,11
CALEY,B,1
CALLIE,A,1
CALLIE,B,1
CALVIN,A,11
CALVIN,B,9
CAMA,A,1
CAMELIA,B,1
CAMERON,A,3
CAMERON,B,5
CAMILEE,A,3
CAMILEE,B,3
CAMMIE,A,1
CAMMIE,B,1
CAMMY,A,1
CAMMY,B,1
CAMPBELL,A,1
CANDACE,A,5
CANDACE,B,7
CANDI,A,1
CANDI,B,1
CANDICE,A,3
CANDICE,B,3
CANDIDA,A,1
CANDIDA,B,1
CARA,A,6
CARA,B,5
CAREY,B,1
CARIDAD,A,1
CARIDAD,B,1
CARISSA,A,2
CARISSA,B,1
CARL,A,22
CARL,B,20
CARLA,A,10
CARLA,B,9
CARLAS,A,1
CARLEIGH,A,1
CARLEIGH,B,1
CARLENE,A,2
CARLENE,B,2
CARLIE,A,2
CARLIE,B,2
CARLIN,A,1
CARLIN,B,1
CARLISS,A,1
CARLISS,B,1
CARLOS,A,2
CARLOS,B,2
CARLSON,A,1
CARLSON,B,1
CARLTON,A,2
CARLTON,B,2
CARLYN,A,1
CARLYN,B,1
CARMEL,A,1
CARMEL,B,1
CARMELA,A,1
CARMELA,B,1
CARMEN,A,3
CARMEN,B,5
CARMON,A,2
CARMON,B,2
CAROL,A,39
CAROL,B,43
CAROLE,A,7
CAROLE,B,8
CAROLINA,A,1
CAROLINA,B,2
CAROLINE,A,5
CAROLINE,B,4
CAROLYN,A,51
CAROLYN,B,43
CARON,B,1
CARRIE,A,18
CARRIE,B,16
CARROL,A,1
CARROLL,A,7
CARROLL,B,6
CARSEI,A,1
CARSON,A,2
CARSON,B,1
CARTER,B,1
CARTIE,A,1
CARTIE,B,1
CARY,A,1
CARY,B,1
CARYL,A,1
CARYL,B,1
CASANDRA,A,1
CASEY,A,17
CASEY,B,20
CASH,A,1
CASH,B,1
CASIE,B,1
CASSANDRA,A,4
CASSANDRA,B,6
CASSIA,A,1
CASSIA,B,1
CASSIDY,B,2
CASSIE,A,3
CASSIE,B,3
CATHERINE,A,15
CATHERINE,B,21
CATHLEEN,A,1
CATHLEEN,B,1
CATHRYN,A,3
CATHRYN,B,2
CATHY,A,21
CATHY,B,20
CATLIN,A,1
CATLIN,B,2
CATORI,A,1
CAYCE,A,1
CECELIA,A,1
CECELIA,B,1
CECIL,A,10
CECIL,B,8
CECILE,A,2
CECILE,B,2
CECILIA,A,1
CEDAR,A,1
CEDAR,B,1
CEDRIC,A,1
CEDRIC,B,1
CELESTE,A,3
CELESTE,B,2
CELIA,A,1
CELIA,B,1
CEPHAS,A,1
CEPHAS,B,1
CESRE,A,1
CESRE,B,1
CHAD,A,15
CHAD,B,13
CHADD,A,1
CHADD,B,1
CHADRICK,A,1
CHANCE,B,2
CHANDRA,A,1
CHANDRA,B,1
CHANNING,A,1
CHANNING,B,1
CHANTEL,A,2
CHANTEL,B,2
CHARITY,A,6
CHARITY,B,6
CHARLENE,A,10
CHARLENE,B,9
CHARLES,A,194
CHARLES,B,187
CHARLI,A,1
CHARLIE,A,11
CHARLIE,B,11
CHARLOTT,B,1
CHARLOTTE,A,12
CHARLOTTE,B,10
CHASE,A,1
CHASE,B,1
CHASIDY,A,1
CHASIDY,B,1
CHASITY,A,2
CHASITY,B,1
CHASTITY,A,2
CHASTITY,B,3
CHELSEA,A,5
CHELSEA,B,9
CHELSEY,A,2
CHELSEY,B,2
CHERI,A,1
CHERI,B,1
CHERIE,A,1
CHERIE,B,1
CHERINE,A,1
CHERINE,B,1
CHERITH,A,1
CHERITH,B,2
CHERYL,A,19
CHERYL,B,19
CHESTER,A,5
CHESTER,B,5
CHIBUTUTU,A,1
CHIBUTUTU,B,1
CHIEDOZIE,B,1
CHIRSTOPHER,B,1
CHLOE,A,7
CHLOE,B,4
CHRIS,A,12
CHRIS,B,6
CHRISSIE,A,1
CHRISSIE,B,1
CHRISTA,A,1
CHRISTA,B,2
CHRISTAL,A,1
CHRISTAL,B,1
CHRISTEL,A,4
CHRISTEL,B,4
CHRISTEN,A,3
CHRISTEN,B,3
CHRISTIAN,A,10
CHRISTIAN,B,15
CHRISTIANA,B,1
CHRISTIANNE,A,1
CHRISTIANNE,B,1
CHRISTIE,A,6
CHRISTIE,B,5
CHRISTIN,A,2
CHRISTIN,B,2
CHRISTINA,A,26
CHRISTINA,B,29
CHRISTINE,A,30
CHRISTINE,B,33
CHRISTOPHER,A,91
CHRISTOPHER,B,87
CHRISTY,A,19
CHRISTY,B,15
CHRISY,A,1
CHRISY,B,1
CHRYSANNE,A,1
CHRYSTA,A,1
CHRYSTA,B,1
CHRYSTAL,A,1
CHRYSTAL,B,3
CHUCK,B,1
CHUCKY,A,1
CHUCKY,B,1
CIERRA,B,1
CIJI,B,1
CILLA,A,1
CINDY,A,11
CINDY,B,12
CINNAMON,A,2
CINNAMON,B,2
CLAIBORNE,A,1
CLAIBORNE,B,1
CLAIR,A,2
CLAIR,B,3
CLAIRE,A,4
CLAIRE,B,5
CLARA,A,13
CLARA,B,10
CLARENCE,A,19
CLARENCE,B,13
CLARISSA,A,2
CLARISSA,B,2
