lname,src,n
CANON,B,1
CANTWELL,A,1
CAPELLUPO,A,6
CAPELLUPO,B,3
CAPLANO,A,2
CAPLANO,B,2
CAPO,A,1
CAPO,B,1
CAPPS,A,8
CAPPS,B,9
CARACCI,A,2
CARACCI,B,2
CARAVANO,A,1
CARAVANO,B,1
CARBONNEAU,A,3
CARBONNEAU,B,2
CAREY,A,3
CAREY,B,6
CARIGNAN,B,1
CARL,A,3
CARLAN,B,1
CARLE,A,2
CARLE,B,2
CARLSON,A,4
CARLSON,B,5
CARLTON,B,1
CARMACK,A,9
CARMACK,B,7
CARMAN,B,1
CARNEY,B,1
CARON,A,1
CAROWAN,A,1
CAROWAN,B,1
CARPENTER,A,17
CARPENTER,B,19
CARPER,A,1
CARPER,B,1
CARRIER,A,1
CARRIER,B,1
CARRILLO,A,1
CARRILLO,B,1
CARRION,B,1
CARROLL,A,70
CARROLL,B,65
CARROWAY,A,8
CARROWAY,B,8
CARRUTHERS,A,1
CARSON,A,1
CARTER,A,9
CARTER,B,9
CARVER,A,5
CARVER,B,5
CASEY,A,1
CASEY,B,1
CASH,A,2
CASH,B,4
CASHION,A,1
CASHION,B,1
CASPER,A,2
CASPER,B,2
CASSADY,A,1
CASSADY,B,1
CASSANEGO,A,1
CASSIDA,A,16
CASSIDA,B,18
CASTEEL,A,8
CASTEEL,B,10
CASTILLO,A,1
CASTILLO,B,1
CASTLE,B,1
CASTRO,A,1
CATALANO,A,1
CATE,A,1
CATE,B,1
CATERSON,A,5
CATERSON,B,3
CATHY,A,1
CATOE,A,1
CAUDILL,A,6
CAUDILL,B,5
CAUSBY,A,1
CAUSBY,B,1
CAUSEY,A,1
CAUSEY,B,1
CAVALIER,B,2
CAVATORTA,B,1
CEDERGREN,A,2
CEDERGREN,B,2
CELANO,A,1
CERCONE,A,3
CERCONE,B,3
CERCOPELY,B,2
CERNIGLIA,A,3
CERNIGLIA,B,1
CERTAIN,A,4
CERTAIN,B,4
CHAMBERLAIN,A,4
CHAMBERLAIN,B,2
CHAMBERS,A,4
CHAMBERS,B,5
CHAMPLIN,A,1
CHANCE,A,2
CHANCE,B,2
CHANDLER,A,65
CHANDLER,B,72
CHANDLER-LAWS,A,1
CHANEY,A,4
CHANEY,B,3
CHAPMAN,A,1
CHAPMAN,B,2
CHAPPELEAR,B,2
CHAPPELL,A,2
CHARBONNET,A,1
CHARBONNET,B,1
CHARLES,A,3
CHARLTON,A,5
CHARLTON,B,6
CHARNESKI,A,1
CHARNESKI,B,1
CHASE,B,1
CHASTEEN-PEGRAM,A,1
CHASTEEN-PEGRAM,B,1
CHAUVIN,A,2
CHAVEZ,A,1
CHAVEZ,B,2
CHAVIS,A,2
CHAVIS,B,2
CHEATHAM,A,1
CHEEK,A,1
CHENEY,A,1
CHENEY,B,1
CHERESHKOFF,A,6
CHERESHKOFF,B,5
CHERRY,A,4
CHERRY,B,2
CHIEM,A,1
CHIEM,B,1
CHILD,A,1
CHILD,B,1
CHILDRESS,B,2
CHILDS,A,2
CHILDS,B,4
CHIN,A,1
CHIN,B,1
CHISHOLM,A,1
CHOATE,A,3
CHOATE,B,3
CHRISAWN,A,43
CHRISAWN,B,42
CHRISTENSEN,A,2
CHRISTIAN,B,1
CHRISTIE,A,1
CHRISTON,A,2
CHRISTON,B,2
CHRISTOPHER,A,5
CHRISTOPHER,B,2
CHU,A,1
CHU,B,1
CHURCH,A,1
CHURCH,B,8
CHURCHILL,B,2
CHURINOFF,B,1
CHURLIK,A,1
CHURLIK,B,1
CHUVALA,A,3
CHUVALA,B,3
CIFALDI,A,1
CIFALDI,B,1
CLACK,A,2
CLACK,B,2
CLARK,A,30
CLARK,B,26
CLARKE,A,1
CLAWSON,A,2
CLAYTON,A,1
CLEMENTS,A,1
CLEVELAND,A,3
CLEVELAND,B,3
CLIFFORD,A,1
CLONINGER,A,1
CLONTZ,B,1
CLOPTON,A,5
CLOPTON,B,2
CLORE,A,3
CLORE,B,2
CLUBB,B,2
CLYDE,A,1
CLYMER,A,2
CLYMER,B,2
COATES,A,8
COATES,B,5
COATS,A,1
COATS,B,1
COCHRANE,A,3
COCHRANE,B,2
CODY,A,3
CODY,B,3
COE,A,1
COFFEY,A,1
COFFEY,B,1
COGBURN,A,1
COGBURN,B,1
COGGIN,B,1
COGGINS,B,1
COHEN,A,3
COHEN,B,4
COLBY,A,2
COLE,A,20
COLE,B,19
COLEGROVE,A,1
COLEGROVE,B,1
COLEMAN,A,5
COLEMAN,B,6
COLEMAN-CARVER,A,1
COLEMAN-CARVER,B,1
COLETTA,A,1
COLETTA,B,2
COLLEY,A,3
COLLEY,B,3
COLLIER,A,4
COLLIER,B,3
COLLINS,A,7
COLLINS,B,6
COLON,A,1
COLON,B,1
COLSON,A,1
COLT,A,1
COLT,B,1
COLTERYAHN,B,2
COLYER,A,2
COLYER,B,2
COMEE,A,1
COMEE,B,1
COMP,A,2
COMP,B,2
COMPTON,A,3
COMPTON,B,2
CONARD,A,2
CONARD,B,2
CONCEPCION,A,1
CONCEPCION,B,1
CONDREY,A,1
CONE,A,1
CONKLIN,A,3
CONKLIN,B,2
CONLEY,A,4
CONLEY,B,4
CONNELL,A,2
CONNELL,B,1
CONNELLY,A,1
CONNERS,B,1
CONNOLLY,B,1
CONNOR,A,1
CONNOR,B,3
CONNORS,A,1
CONNORS,B,1
CONOVER,A,1
CONOVER,B,1
CONSIDINE,B,1
CONTLA,B,2
CONYERS,A,1
CONYERS,B,1
COOK,A,35
COOK,B,37
COOK-FENDER,A,1
COOKE,A,2
COOKE,B,4
COOMBER,B,1
COOPER,A,76
COOPER,B,77
COOTS,A,2
COOTS,B,1
COPAS,A,2
COPAS,B,1
COPE,A,6
COPE,B,6
COPELAND,A,2
COPELAND,B,2
CORBIN,A,4
CORBIN,B,2
CORDELL,A,3
CORDELL,B,2
CORDER,A,1
CORDER,B,1
CORDOVA,A,1
CORDOVA,B,1
COREN,A,1
COREN,B,1
COREY,A,1
CORING,A,1
CORING,B,1
CORN,A,2
CORN,B,1
CORNETT,A,1
CORNETT,B,1
CORONADO,A,1
CORONADO,B,1
COROZINE,A,1
COROZINE,B,2
CORSIDINE,B,1
CORT,A,2
CORT,B,2
CORZINE,A,1
COSTELLO,A,1
COSTELLO,B,1
COTTRELL,A,3
COTTRELL,B,2
COWAN,A,1
COWART,A,2
COWART,B,2
COWHIG,B,1
